student_id,topic_id,quiz_score,time_spent_minutes,error_count,attempts,days_since_activity
1,121,78.5,9.4,0,1,33
1,112,93.1,11.1,0,1,27
1,115,94.7,20.0,1,2,9
1,119,70.9,13.1,0,1,12
1,107,86.9,16.3,0,1,68
1,126,74.6,10.1,1,1,2
1,105,95.9,10.0,0,1,8
1,129,100.0,8.7,0,2,7
1,127,91.1,11.4,0,1,6
1,109,84.4,7.1,0,1,28
1,106,89.3,11.5,0,1,45
1,123,84.7,16.4,0,1,16
1,117,78.2,6.5,1,2,11
1,110,84.9,17.8,0,1,8
1,124,84.8,12.0,0,1,8
1,102,88.7,14.6,0,1,20
1,122,78.2,8.5,0,1,34
1,104,88.2,10.1,0,1,25
1,128,98.7,11.4,0,1,30
1,108,89.4,7.7,0,1,40
1,111,100.0,8.6,0,1,86
1,116,90.5,16.8,0,1,12
1,118,86.7,7.8,0,1,27
1,113,73.9,6.1,0,2,10
1,120,100.0,23.6,0,1,1
1,101,100.0,8.1,0,1,6
1,125,85.0,11.5,0,1,2
1,114,89.9,9.8,0,1,13
2,105,65.3,18.5,1,1,23
2,111,63.1,32.7,1,1,14
2,117,65.9,14.3,1,1,2
2,108,29.3,26.6,1,1,11
2,122,53.3,31.0,4,2,12
2,129,68.8,35.4,3,2,23
2,104,61.3,11.0,1,2,4
2,112,56.2,29.7,4,2,1
2,101,28.6,17.3,1,1,23
2,123,72.8,11.0,1,1,54
2,115,46.6,21.1,2,2,24
2,119,66.1,18.7,4,2,31
2,113,48.2,23.9,2,1,39
2,100,76.9,12.3,3,2,18
2,126,64.7,20.7,1,1,4
2,121,67.7,28.0,1,1,6
2,124,45.1,9.8,3,2,13
2,109,86.6,26.6,2,2,21
2,114,55.9,1.0,2,3,0
2,103,86.2,2.0,0,1,6
2,107,68.8,23.2,0,2,8
2,116,69.2,25.0,3,2,19
3,108,74.7,21.7,0,1,3
3,126,95.5,22.6,0,2,2
3,100,78.8,18.5,1,2,14
3,104,70.4,29.1,1,2,31
3,102,83.3,46.9,0,2,6
3,121,77.0,45.0,1,2,8
3,107,97.6,53.7,1,2,7
3,106,72.4,38.0,1,2,21
3,112,65.7,16.3,0,1,5
3,128,97.4,45.0,0,1,30
